PC=00000000000003f4, REG[ 3]=0000000000000028
PC=00000000000003f8, ---
PC=00000000000003fc, REG[ 1]=000000000000c008
PC=0000000000000400, REG[ 2]=0000000000000028
PC=0000000000000404, REG[ 3]=000000000000c030
PC=0000000000000408, ---
PC=000000000000040c, REG[ 3]=0000000000000009
PC=0000000000000410, ---
PC=0000000000000414, REG[ 1]=0000000000000009
PC=0000000000000418, REG[ 3]=000000000000c030
PC=000000000000041c, ---
PC=0000000000000420, REG[ 3]=0000000000000006
PC=0000000000000424, ---
PC=0000000000000428, REG[ 1]=0000000000000006
PC=000000000000042c, REG[ 3]=0000000000000000
PC=0000000000000430, ---
PC=0000000000000434, REG[ 1]=000000000000c008
PC=0000000000000438, REG[ 3]=0000000000000010
PC=000000000000043c, ---
PC=0000000000000440, REG[ 1]=0000000000000010
PC=0000000000000444, REG[ 2]=0000000000000006
PC=0000000000000448, REG[ 3]=0000000000000000
PC=000000000000044c, ---
PC=0000000000000450, REG[ 1]=0000000000000000
PC=0000000000000454, REG[ 2]=0000000000000000
PC=0000000000000458, REG[ 3]=0000000000000000
PC=000000000000045c, ---
PC=0000000000000460, REG[ 1]=0000000000000000
PC=0000000000000464, ---
PC=0000000000000470, REG[ 1]=0000000000000006
PC=0000000000000474, REG[ 3]=0000000000000030
PC=0000000000000478, ---
PC=000000000000047c, REG[ 1]=000000000000c008
PC=0000000000000480, REG[ 2]=0000000000000030
PC=0000000000000484, REG[ 3]=000000000000c038
PC=0000000000000488, ---
PC=000000000000048c, REG[ 3]=0000000000000002
PC=0000000000000490, ---
PC=0000000000000494, REG[ 1]=0000000000000002
PC=0000000000000498, REG[ 3]=000000000000c038
PC=000000000000049c, ---
PC=00000000000004a0, REG[ 3]=0000000000000007
PC=00000000000004a4, ---
PC=00000000000004a8, REG[ 1]=0000000000000007
PC=00000000000004ac, REG[ 3]=0000000000000000
PC=00000000000004b0, ---
PC=00000000000004b4, REG[ 1]=000000000000c008
PC=00000000000004b8, REG[ 3]=0000000000000010
PC=00000000000004bc, ---
PC=00000000000004c0, REG[ 1]=0000000000000010
PC=00000000000004c4, REG[ 2]=0000000000000007
PC=00000000000004c8, REG[ 3]=0000000000000000
PC=00000000000004cc, ---
PC=00000000000004d0, REG[ 1]=0000000000000000
PC=00000000000004d4, REG[ 2]=0000000000000000
PC=00000000000004d8, REG[ 3]=0000000000000000
PC=00000000000004dc, ---
PC=00000000000004e0, REG[ 1]=0000000000000000
PC=00000000000004e4, ---
PC=00000000000004f0, REG[ 1]=0000000000000007
PC=00000000000004f4, REG[ 3]=0000000000000038
PC=00000000000004f8, ---
PC=00000000000004fc, REG[ 1]=000000000000c008
PC=0000000000000500, REG[ 2]=0000000000000038
PC=0000000000000504, REG[ 3]=000000000000c040
PC=0000000000000508, ---
PC=000000000000050c, REG[ 3]=0000000000000006
PC=0000000000000510, ---
PC=0000000000000514, REG[ 1]=0000000000000006
PC=0000000000000518, REG[ 3]=000000000000c040
PC=000000000000051c, ---
PC=0000000000000520, REG[ 3]=0000000000000008
PC=0000000000000524, ---
PC=0000000000000528, REG[ 1]=0000000000000008
PC=000000000000052c, REG[ 3]=0000000000000000
PC=0000000000000530, ---
PC=0000000000000534, REG[ 1]=000000000000c008
PC=0000000000000538, REG[ 3]=0000000000000010
PC=000000000000053c, ---
PC=0000000000000540, REG[ 1]=0000000000000010
PC=0000000000000544, REG[ 2]=0000000000000008
PC=0000000000000548, REG[ 3]=0000000000000000
PC=000000000000054c, ---
PC=0000000000000550, REG[ 1]=0000000000000000
PC=0000000000000554, REG[ 2]=0000000000000000
PC=0000000000000558, REG[ 3]=0000000000000000
PC=000000000000055c, ---
PC=0000000000000560, REG[ 1]=0000000000000000
PC=0000000000000564, ---
PC=0000000000000570, REG[ 1]=0000000000000008
PC=0000000000000574, REG[ 3]=0000000000000040
PC=0000000000000578, ---
PC=000000000000057c, REG[ 1]=000000000000c008
PC=0000000000000580, REG[ 2]=0000000000000040
PC=0000000000000584, REG[ 3]=000000000000c048
PC=0000000000000588, ---
PC=000000000000058c, REG[ 3]=0000000000000005
PC=0000000000000590, ---
PC=0000000000000594, REG[ 1]=0000000000000005
PC=0000000000000598, REG[ 3]=000000000000c048
PC=000000000000059c, ---
PC=00000000000005a0, REG[ 3]=0000000000000009
PC=00000000000005a4, ---
PC=00000000000005a8, REG[ 1]=0000000000000009
PC=00000000000005ac, REG[ 3]=0000000000000000
PC=00000000000005b0, ---
PC=00000000000005b4, REG[ 1]=000000000000c008
PC=00000000000005b8, REG[ 3]=0000000000000010
PC=00000000000005bc, ---
PC=00000000000005c0, REG[ 1]=0000000000000010
PC=00000000000005c4, REG[ 2]=0000000000000009
PC=00000000000005c8, REG[ 3]=0000000000000000
PC=00000000000005cc, ---
PC=00000000000005d0, REG[ 1]=0000000000000000
PC=00000000000005d4, REG[ 2]=0000000000000000
PC=00000000000005d8, REG[ 3]=0000000000000000
PC=00000000000005dc, ---
PC=00000000000005e0, REG[ 1]=0000000000000000
PC=00000000000005e4, ---
PC=00000000000005f0, REG[ 1]=0000000000000009
PC=00000000000005f4, REG[ 3]=0000000000000048
PC=00000000000005f8, ---
PC=00000000000005fc, REG[ 1]=000000000000c008
PC=0000000000000600, REG[ 2]=0000000000000048
PC=0000000000000604, REG[ 3]=000000000000c050
PC=0000000000000608, ---
PC=000000000000060c, REG[ 3]=0000000000000003
PC=0000000000000610, ---
PC=0000000000000614, REG[ 1]=0000000000000003
PC=0000000000000618, REG[ 3]=000000000000c050
PC=000000000000061c, ---
PC=0000000000000620, REG[ 3]=000000000000000a
PC=0000000000000624, ---
PC=0000000000000628, REG[ 1]=000000000000000a
PC=000000000000062c, REG[ 3]=0000000000000000
PC=0000000000000630, ---
PC=0000000000000634, REG[ 1]=000000000000c008
PC=0000000000000638, REG[ 3]=0000000000000010
PC=000000000000063c, ---
PC=0000000000000640, REG[ 1]=0000000000000010
PC=0000000000000644, REG[ 2]=000000000000000a
PC=0000000000000648, REG[ 3]=0000000000000000
PC=000000000000064c, ---
PC=0000000000000650, REG[ 1]=0000000000000000
PC=0000000000000654, REG[ 2]=0000000000000000
PC=0000000000000658, REG[ 3]=0000000000000000
PC=000000000000065c, ---
PC=0000000000000660, REG[ 1]=0000000000000000
PC=0000000000000664, ---
PC=0000000000000670, REG[ 1]=000000000000000a
PC=0000000000000674, REG[ 3]=0000000000000050
PC=0000000000000678, ---
PC=000000000000067c, REG[ 1]=000000000000c008
PC=0000000000000680, REG[ 2]=0000000000000050
PC=0000000000000684, REG[ 3]=000000000000c058
PC=0000000000000688, ---
PC=000000000000068c, REG[ 3]=0000000000000005
PC=0000000000000690, ---
PC=0000000000000694, REG[ 1]=0000000000000005
PC=0000000000000698, REG[ 3]=000000000000c058
PC=000000000000069c, ---
PC=00000000000006a0, REG[ 3]=000000000000000b
PC=00000000000006a4, ---
PC=00000000000006a8, REG[ 1]=000000000000000b
PC=00000000000006ac, REG[ 3]=0000000000000000
PC=00000000000006b0, ---
PC=00000000000006b4, REG[ 1]=000000000000c008
PC=00000000000006b8, REG[ 3]=0000000000000010
PC=00000000000006bc, ---
PC=00000000000006c0, REG[ 1]=0000000000000010
PC=00000000000006c4, REG[ 2]=000000000000000b
PC=00000000000006c8, REG[ 3]=0000000000000000
PC=00000000000006cc, ---
PC=00000000000006d0, REG[ 1]=0000000000000000
PC=00000000000006d4, REG[ 2]=0000000000000000
PC=00000000000006d8, REG[ 3]=0000000000000000
PC=00000000000006dc, ---
PC=00000000000006e0, REG[ 1]=0000000000000000
PC=00000000000006e4, ---
PC=00000000000006f0, REG[ 1]=000000000000000b
PC=00000000000006f4, REG[ 3]=0000000000000058
PC=00000000000006f8, ---
PC=00000000000006fc, REG[ 1]=000000000000c008
PC=0000000000000700, REG[ 2]=0000000000000058
PC=0000000000000704, REG[ 3]=000000000000c060
PC=0000000000000708, ---
PC=000000000000070c, REG[ 3]=0000000000000008
PC=0000000000000710, ---
PC=0000000000000714, REG[ 1]=0000000000000008
PC=0000000000000718, REG[ 3]=000000000000c060
PC=000000000000071c, ---
PC=0000000000000720, REG[ 3]=000000000000000c
PC=0000000000000724, ---
PC=0000000000000728, REG[ 1]=000000000000000c
PC=000000000000072c, REG[ 3]=0000000000000000
PC=0000000000000730, ---
PC=0000000000000734, REG[ 1]=000000000000c008
PC=0000000000000738, REG[ 3]=0000000000000010
PC=000000000000073c, ---
PC=0000000000000740, REG[ 1]=0000000000000010
PC=0000000000000744, REG[ 2]=000000000000000c
PC=0000000000000748, REG[ 3]=0000000000000000
PC=000000000000074c, ---
PC=0000000000000750, REG[ 1]=0000000000000000
PC=0000000000000754, REG[ 2]=0000000000000000
PC=0000000000000758, REG[ 3]=0000000000000000
PC=000000000000075c, ---
PC=0000000000000760, REG[ 1]=0000000000000000
PC=0000000000000764, ---
PC=0000000000000770, REG[ 1]=000000000000000c
PC=0000000000000774, REG[ 3]=0000000000000060
PC=0000000000000778, ---
PC=000000000000077c, REG[ 1]=000000000000c008
PC=0000000000000780, REG[ 2]=0000000000000060
PC=0000000000000784, REG[ 3]=000000000000c068
PC=0000000000000788, ---
PC=000000000000078c, REG[ 3]=0000000000000009
PC=0000000000000790, ---
